Port,Protocol,Count
3313,tcp,5
59393,udp,4
55198,tcp,5
62336,tcp,9
55648,tcp,4
60876,tcp,3
2056,udp,4
63013,udp,3
443,tcp,3
54018,udp,5
60360,udp,11
58277,udp,8
55115,tcp,8
57834,tcp,7
58981,tcp,4
63398,tcp,5
50346,tcp,3
53186,tcp,8
623,tcp,6
60212,tcp,9
4851,tcp,5
55048,tcp,4
62453,udp,11
57048,udp,4
65210,udp,7
54552,udp,6
3781,udp,3
49196,udp,4
2866,tcp,7
59509,tcp,5
53816,udp,7
61262,tcp,5
58394,udp,2
57438,tcp,4
58797,tcp,3
52759,tcp,2
52602,tcp,5
64112,tcp,2
54176,tcp,4
4059,udp,6
64478,udp,4
51107,udp,4
56501,tcp,6
61837,udp,2
49721,udp,4
64659,tcp,5
51271,udp,8
57089,tcp,6
53162,tcp,7
50285,udp,5
60636,udp,3
56695,tcp,4
54906,tcp,5
62175,tcp,4
59059,udp,7
51352,udp,8
54247,udp,4
138,udp,6
2878,tcp,7
52766,udp,6
56445,tcp,5
59719,udp,6
62466,tcp,6
57348,tcp,6
1863,tcp,5
61425,tcp,4
2396,tcp,7
55311,udp,5
64498,udp,11
50882,udp,7
62825,udp,5
54890,udp,7
56127,tcp,5
55222,udp,7
61585,udp,6
63213,udp,7
54892,udp,8
57050,tcp,2
3303,udp,5
63088,tcp,5
1345,tcp,6
53721,udp,3
54221,tcp,3
51834,udp,4
53042,tcp,4
63235,tcp,4
63082,udp,7
4496,udp,6
61579,tcp,6
49638,tcp,8
62657,udp,6
4027,tcp,6
49399,udp,4
55971,udp,7
61045,udp,3
53509,udp,9
59898,udp,5
56373,tcp,13
65214,tcp,4
62279,tcp,11
1156,tcp,10
57158,tcp,1
4576,tcp,6
63159,tcp,7
63683,tcp,6
63810,tcp,9
4787,tcp,2
65363,udp,7
54328,udp,6
53432,tcp,3
4148,udp,7
4161,udp,6
65069,tcp,5
2118,udp,4
1230,udp,3
64697,tcp,4
59144,udp,7
1014,udp,6
50798,tcp,5
56745,udp,7
4863,tcp,1
49472,udp,5
2166,tcp,5
63855,tcp,3
54522,tcp,4
61412,tcp,4
3556,tcp,7
61043,tcp,6
140,udp,6
57584,tcp,11
56498,udp,11
54777,tcp,3
57418,tcp,7
55667,tcp,8
2508,udp,5
55939,tcp,4
57745,tcp,6
49860,tcp,5
56615,tcp,4
2385,udp,8
55915,udp,5
220,udp,8
64313,tcp,5
4672,tcp,4
55040,tcp,7
60351,tcp,7
59961,udp,9
54250,tcp,6
1263,udp,7
52468,tcp,4
49925,udp,4
56446,udp,7
53893,udp,3
3746,tcp,6
58351,tcp,4
1526,udp,3
4852,udp,5
1530,tcp,4
1800,tcp,6
53476,tcp,7
49619,udp,5
56566,udp,6
64434,tcp,4
51127,tcp,8
52988,udp,2
56724,udp,5
3780,udp,6
50081,udp,6
61143,udp,7
57797,tcp,8
54255,udp,7
55336,tcp,8
3974,udp,5
2489,udp,4
398,tcp,11
61718,tcp,9
57379,tcp,4
60238,udp,6
59211,tcp,3
60578,udp,4
3895,udp,7
53805,udp,2
55395,udp,7
59293,udp,3
63850,tcp,5
64728,tcp,7
57719,tcp,6
52657,tcp,7
52580,tcp,6
57992,tcp,4
60766,tcp,11
61143,tcp,7
62906,tcp,3
60130,udp,4
3106,tcp,2
58,tcp,3
52899,tcp,5
57324,udp,3
64338,tcp,6
49978,tcp,5
60138,tcp,9
49965,udp,3
57498,udp,5
60343,udp,3
65052,tcp,2
62797,tcp,2
1178,udp,8
53117,tcp,8
54363,udp,5
55528,udp,6
57698,tcp,5
56165,udp,3
58212,tcp,4
58325,udp,6
3953,tcp,7
53015,udp,10
61640,tcp,3
51131,udp,6
2896,tcp,8
59817,tcp,5
63429,udp,3
4908,udp,4
55924,tcp,5
1827,tcp,9
52284,tcp,4
56243,tcp,5
59330,tcp,9
2085,tcp,5
57326,udp,7
2680,tcp,7
59126,udp,4
52503,udp,6
2151,tcp,3
63980,tcp,4
60936,tcp,7
52291,tcp,4
54703,tcp,3
62536,tcp,4
1595,tcp,6
1037,tcp,3
63959,udp,3
57481,udp,6
50035,tcp,3
59749,udp,15
52441,udp,5
659,tcp,8
2647,udp,4
59639,tcp,12
52499,tcp,4
51562,tcp,6
54071,tcp,6
1712,udp,5
54995,tcp,6
62762,tcp,7
60756,udp,7
2156,tcp,6
56736,udp,4
51125,tcp,5
152,tcp,7
54772,udp,4
2971,udp,3
63254,tcp,11
4283,udp,7
56258,tcp,1
59228,udp,6
1788,udp,5
4162,tcp,8
475,tcp,9
3332,tcp,5
55424,udp,4
59369,tcp,7
51413,udp,4
58016,tcp,3
3805,tcp,4
61448,tcp,4
52894,tcp,6
58971,tcp,5
56832,tcp,8
60123,udp,3
64679,tcp,4
3341,tcp,5
54143,tcp,6
2089,udp,9
57509,tcp,7
65228,tcp,10
52691,tcp,2
63007,udp,5
64630,tcp,8
58966,udp,7
49309,udp,8
52914,udp,7
60678,tcp,4
64168,tcp,4
53939,udp,7
50998,udp,9
2891,udp,3
64911,tcp,4
552,udp,8
56372,udp,3
58286,udp,3
55339,udp,8
53841,udp,3
51568,udp,6
51876,tcp,7
1072,udp,4
53952,udp,5
57687,udp,8
62216,tcp,4
61869,udp,6
52566,udp,6
523,tcp,3
373,udp,7
59578,udp,3
58189,tcp,6
61920,udp,6
63427,udp,7
59490,udp,6
54386,udp,8
54368,tcp,7
53761,udp,3
53032,udp,3
57120,udp,3
681,tcp,9
3022,udp,10
64105,udp,5
63038,tcp,5
60149,tcp,1
65464,udp,3
1642,tcp,5
64985,udp,8
59339,tcp,2
59050,tcp,6
792,udp,4
1775,tcp,4
57521,tcp,4
55001,udp,6
61604,udp,7
3689,tcp,7
2923,tcp,5
4251,tcp,6
58092,udp,3
57473,tcp,2
59476,tcp,10
56454,tcp,2
355,tcp,5
50089,udp,10
64978,tcp,7
50891,udp,8
56734,tcp,6
52389,tcp,4
51493,udp,7
52277,tcp,3
52870,tcp,4
59080,udp,7
55597,tcp,3
327,tcp,8
54923,udp,5
53255,udp,5
52458,udp,5
56568,udp,6
50125,tcp,9
53340,tcp,3
56771,udp,4
64070,udp,8
50128,tcp,8
56050,udp,7
56556,udp,5
58361,tcp,11
403,udp,5
53191,tcp,4
53874,tcp,4
53587,tcp,2
62821,udp,5
61806,udp,4
58271,udp,3
59422,udp,5
2990,tcp,8
939,udp,4
2307,udp,6
49420,udp,4
50115,tcp,9
3132,tcp,8
182,udp,3
64307,udp,9
51015,udp,6
55105,udp,8
62572,tcp,8
58209,tcp,5
50455,udp,6
53070,udp,4
52955,tcp,4
59940,udp,6
57397,tcp,7
2566,tcp,4
53811,udp,3
914,tcp,4
55513,udp,6
51309,udp,7
456,udp,5
64316,udp,7
58455,tcp,4
59416,udp,7
54306,tcp,5
50808,udp,6
54945,udp,3
4155,tcp,7
62038,udp,7
4952,tcp,5
62635,udp,6
58384,udp,3
49222,udp,6
61184,tcp,7
59799,udp,5
53473,tcp,7
55683,tcp,8
56468,tcp,4
65497,tcp,6
52860,tcp,5
2674,tcp,5
2131,udp,3
2433,udp,7
1096,udp,3
49452,udp,5
55133,tcp,4
58815,udp,7
58681,tcp,5
3196,udp,10
57869,tcp,2
58765,udp,6
64626,udp,8
52842,udp,6
51261,udp,5
3551,udp,7
60275,tcp,4
59919,tcp,6
61190,tcp,3
51135,udp,3
51515,tcp,3
57361,tcp,4
54035,udp,5
59703,tcp,10
52996,tcp,5
62770,tcp,9
338,udp,3
51394,tcp,6
4391,udp,4
55739,tcp,6
53339,udp,8
59841,udp,11
65322,udp,6
60025,tcp,6
51799,udp,6
209,tcp,5
51122,tcp,4
54132,udp,5
53133,udp,5
3374,tcp,8
1666,tcp,8
53737,udp,7
61683,udp,7
60412,tcp,9
58721,tcp,9
53227,udp,7
3530,udp,7
2306,udp,3
49426,udp,4
64104,udp,1
51523,tcp,3
62783,udp,3
62576,tcp,4
54410,tcp,8
2283,udp,5
54867,tcp,6
59478,udp,6
771,tcp,5
64124,udp,3
49575,tcp,9
54702,tcp,9
50301,udp,8
51455,udp,8
60354,udp,6
299,udp,9
1111,udp,7
3841,tcp,3
50485,udp,5
52516,tcp,6
56586,tcp,4
58055,tcp,5
2995,udp,7
50918,tcp,4
64365,udp,4
50141,udp,8
56890,udp,5
62537,udp,4
64637,tcp,3
2975,tcp,3
4358,udp,7
56693,tcp,5
3179,udp,8
53991,udp,5
53281,tcp,6
65186,tcp,4
3061,udp,4
61275,tcp,7
62965,tcp,4
56621,udp,8
2193,udp,2
51590,tcp,6
54467,udp,6
3997,udp,8
49703,tcp,7
53247,udp,6
4223,udp,9
55862,tcp,5
554,tcp,5
60173,tcp,5
54088,udp,7
49897,tcp,5
64742,tcp,6
52487,tcp,4
49586,tcp,1
62601,tcp,6
52911,udp,4
2732,tcp,6
56304,udp,7
61842,tcp,4
4634,udp,7
50924,udp,3
1696,udp,3
51015,tcp,6
60990,tcp,8
574,udp,6
1533,tcp,9
55312,tcp,10
1446,udp,5
62199,udp,8
401,tcp,4
61860,udp,3
50366,tcp,6
55506,tcp,5
61116,tcp,4
56746,udp,6
52883,tcp,10
56585,udp,4
1477,tcp,8
62609,tcp,9
54631,tcp,8
1351,tcp,4
59143,udp,7
57128,udp,5
57337,udp,5
49886,udp,11
52609,udp,5
63113,udp,9
53226,udp,5
57362,udp,2
62640,udp,7
360,tcp,7
52949,udp,3
56049,tcp,4
50162,tcp,9
52072,tcp,4
4724,tcp,9
72,tcp,7
203,tcp,6
51021,udp,6
51407,tcp,8
50747,tcp,5
51785,tcp,6
1687,udp,13
62609,udp,8
52051,tcp,4
54276,udp,5
2969,tcp,7
49650,udp,4
49269,udp,2
3457,tcp,3
55331,tcp,5
57747,tcp,7
58918,tcp,8
55585,udp,8
51843,tcp,4
51669,tcp,4
51909,tcp,4
4851,udp,2
2711,tcp,6
1764,udp,3
53948,tcp,5
52881,tcp,10
64675,tcp,3
49517,tcp,3
4083,tcp,6
35,tcp,7
4019,tcp,9
52653,udp,5
53085,udp,3
54928,udp,5
3310,tcp,7
1626,udp,8
4070,udp,5
259,tcp,2
60528,tcp,8
63937,tcp,1
3887,tcp,5
64059,tcp,6
2926,udp,5
248,tcp,4
57861,udp,6
61337,udp,8
50986,udp,6
3758,udp,10
64482,udp,3
57189,udp,8
61073,tcp,8
60559,tcp,3
51942,tcp,6
51752,udp,3
56555,udp,5
2745,udp,10
53853,udp,6
54073,tcp,8
1278,udp,4
2446,udp,8
64299,tcp,5
51380,tcp,4
51347,udp,5
55719,udp,9
55020,tcp,3
51186,tcp,6
50029,tcp,7
54572,tcp,7
51296,tcp,3
64667,tcp,5
51404,tcp,8
758,tcp,2
3955,udp,5
55815,tcp,6
4235,udp,3
3469,tcp,2
54263,tcp,6
2417,udp,10
64336,tcp,7
61824,tcp,4
49733,tcp,6
65050,tcp,5
62451,udp,4
57172,tcp,9
64102,tcp,6
55528,tcp,4
57672,udp,4
60783,udp,3
4340,udp,8
3437,udp,3
51609,udp,8
49263,udp,6
3417,tcp,6
55049,tcp,7
63734,tcp,3
4071,tcp,5
53725,tcp,10
51132,tcp,7
65352,tcp,6
60673,udp,6
55695,tcp,9
1952,tcp,8
59073,udp,6
59793,tcp,5
53886,tcp,4
58627,tcp,6
61007,udp,6
50014,udp,10
2107,udp,4
1360,tcp,3
56123,udp,1
65242,tcp,5
50320,udp,8
64676,udp,6
1931,udp,3
53602,udp,4
62535,udp,8
64127,tcp,7
65153,udp,4
4923,tcp,7
51389,tcp,5
4951,tcp,4
3801,tcp,11
54256,udp,6
3242,tcp,8
58498,tcp,4
64853,udp,3
53022,tcp,3
52346,tcp,6
57918,udp,3
53473,udp,6
56827,udp,3
56650,udp,5
2691,udp,4
54655,udp,7
63928,udp,9
62334,tcp,1
3845,tcp,4
3460,udp,4
56235,udp,3
56459,tcp,9
64868,udp,8
52177,udp,2
89,udp,4
49994,udp,8
59989,udp,6
51684,tcp,5
60894,udp,3
58673,tcp,10
1164,tcp,7
64535,tcp,5
52050,udp,6
50266,tcp,4
62931,tcp,7
56056,udp,11
57297,udp,3
57682,tcp,7
60725,tcp,6
60530,udp,3
54513,tcp,7
58979,udp,5
60774,tcp,4
62878,udp,5
65226,tcp,6
51608,tcp,4
51583,tcp,6
63577,udp,4
58769,tcp,5
63532,udp,6
55218,tcp,2
65475,tcp,6
63157,tcp,7
55660,udp,6
51308,tcp,7
51179,udp,6
62527,udp,6
49799,tcp,6
61374,tcp,10
53455,udp,7
2713,tcp,3
55836,udp,8
63571,tcp,4
62050,udp,6
61834,tcp,5
57267,udp,8
50891,tcp,5
4941,udp,4
58325,tcp,6
57324,tcp,11
55049,udp,4
370,tcp,2
3202,udp,8
1610,tcp,5
50823,tcp,5
61827,tcp,6
4090,tcp,9
53180,tcp,9
4568,udp,3
60664,tcp,6
652,udp,2
61892,udp,3
58908,tcp,3
55269,udp,5
60649,tcp,5
57845,tcp,6
50299,udp,8
54306,udp,8
51944,tcp,5
54838,tcp,6
740,tcp,6
53338,tcp,7
3877,tcp,5
4964,udp,8
49826,udp,6
49920,tcp,6
53982,udp,5
59196,udp,7
55810,tcp,7
52845,udp,4
3931,udp,6
54108,tcp,5
53175,tcp,7
4669,udp,2
63457,udp,8
3340,tcp,2
57720,tcp,10
52834,tcp,6
56011,udp,5
60923,tcp,3
61369,udp,4
59461,udp,7
49840,udp,3
52062,udp,2
50871,tcp,2
63767,tcp,4
59319,tcp,4
55852,udp,4
598,udp,6
2412,tcp,3
3042,tcp,6
51460,tcp,8
64952,tcp,8
3658,tcp,6
63229,tcp,4
65179,udp,6
53845,tcp,6
62587,udp,6
63966,tcp,4
49564,udp,6
52783,tcp,6
59860,udp,4
61460,tcp,5
1577,udp,2
61039,udp,5
62925,udp,6
88,tcp,6
52596,udp,7
60257,tcp,6
60889,tcp,7
4921,udp,6
58257,tcp,5
61219,tcp,6
51278,udp,4
1515,udp,3
63339,tcp,9
49832,udp,2
61910,tcp,3
52905,tcp,5
4209,udp,3
59563,tcp,3
1191,udp,5
4613,udp,4
49990,tcp,9
4013,tcp,5
57192,tcp,7
4776,udp,6
52875,udp,9
2886,udp,7
52489,tcp,8
51886,udp,4
55954,udp,6
713,tcp,4
63996,tcp,8
939,tcp,5
58949,udp,8
3342,udp,9
3753,udp,12
3430,tcp,2
61131,tcp,3
57916,tcp,3
61687,udp,5
52139,tcp,5
59268,udp,6
61553,tcp,7
3485,tcp,8
51805,tcp,5
54658,tcp,5
52623,tcp,4
64227,udp,4
58014,tcp,5
60267,tcp,8
50925,udp,7
62898,udp,4
51314,udp,7
59212,tcp,4
59634,udp,7
775,tcp,3
60788,udp,4
64464,tcp,7
63353,tcp,4
57638,tcp,6
58703,tcp,7
59484,udp,10
52620,udp,8
50255,tcp,9
58146,udp,9
4376,udp,4
52355,udp,4
61739,tcp,7
2405,udp,4
3400,tcp,6
3781,tcp,9
58401,tcp,11
50952,udp,8
61281,udp,8
3467,udp,4
59971,tcp,7
61470,udp,7
51,tcp,5
4410,tcp,3
53882,tcp,7
62929,udp,5
522,tcp,7
1523,udp,5
59523,tcp,4
51878,tcp,4
64748,tcp,3
49251,tcp,4
58452,tcp,2
52983,udp,5
58878,udp,4
61586,tcp,3
55073,tcp,6
61438,tcp,9
4324,tcp,7
4618,tcp,3
61572,tcp,8
58314,udp,3
2265,udp,7
61882,udp,7
60400,udp,10
63801,tcp,7
61733,tcp,10
52489,udp,4
63993,tcp,6
52282,udp,8
65058,tcp,2
50948,tcp,5
2629,udp,5
4194,udp,6
53023,tcp,6
49171,tcp,3
1950,tcp,5
4676,udp,6
53955,tcp,5
59005,tcp,5
58909,udp,5
60282,udp,6
2625,tcp,5
56812,udp,5
63550,udp,4
64105,tcp,6
4890,udp,4
51592,udp,6
51864,udp,3
52712,tcp,8
64977,tcp,6
1073,tcp,7
62069,tcp,5
2358,udp,6
59354,tcp,4
53032,tcp,7
51299,udp,4
62574,udp,6
61663,udp,6
55373,tcp,4
49942,tcp,9
4734,udp,2
50254,udp,5
51279,tcp,1
56233,udp,6
63349,tcp,2
60845,udp,7
4942,tcp,8
65190,udp,6
4118,tcp,8
193,udp,3
55461,tcp,5
60340,udp,7
57291,tcp,7
57796,udp,6
50151,udp,6
59202,tcp,5
59825,tcp,7
63186,udp,3
54388,tcp,7
907,udp,8
52583,udp,3
56062,tcp,4
56612,udp,3
52501,tcp,8
4292,udp,2
57950,tcp,4
54866,udp,8
927,udp,5
49430,tcp,9
63273,tcp,3
3698,udp,4
56885,tcp,6
61719,tcp,10
54204,udp,6
50152,udp,6
58607,udp,4
60958,tcp,5
2072,tcp,6
56941,tcp,5
52295,tcp,3
1972,udp,4
51691,tcp,8
471,tcp,6
1733,tcp,8
3765,udp,6
59503,tcp,7
63133,udp,9
52242,udp,5
53144,udp,7
834,tcp,7
64898,udp,4
53982,tcp,7
58350,tcp,5
55853,udp,7
49734,udp,6
64012,udp,4
304,tcp,3
4959,udp,7
55228,udp,8
64115,udp,4
870,tcp,6
51815,tcp,4
57592,udp,3
61119,tcp,2
53515,udp,6
4211,tcp,2
50390,udp,10
54174,tcp,5
62615,tcp,7
63014,udp,8
79,tcp,10
3541,udp,12
2782,udp,2
58024,udp,5
57297,tcp,6
50935,tcp,4
54736,udp,4
50228,tcp,8
51531,tcp,7
61948,udp,4
64340,udp,7
51942,udp,8
50302,udp,7
62385,udp,7
64871,tcp,6
49361,udp,5
56635,udp,10
51969,udp,6
62543,tcp,6
147,udp,5
58455,udp,7
4312,tcp,7
64866,udp,5
2672,tcp,5
56601,tcp,7
64967,tcp,8
59194,tcp,3
870,udp,5
58780,udp,4
65528,udp,3
57577,udp,5
4018,tcp,9
2194,tcp,3
54964,tcp,10
54843,udp,4
62328,tcp,6
52156,udp,3
3466,udp,3
2726,udp,4
55567,udp,5
64013,udp,6
60995,tcp,3
4242,udp,4
51181,tcp,8
49504,tcp,5
3940,tcp,14
346,tcp,5
64051,tcp,4
2871,udp,5
58745,udp,3
63435,tcp,8
51953,tcp,7
62554,tcp,4
52074,tcp,4
63629,udp,4
60150,udp,3
61630,udp,6
4586,tcp,4
57016,udp,8
63625,tcp,4
62848,udp,6
3620,udp,6
57776,tcp,8
55713,udp,1
303,udp,8
64400,tcp,7
60763,udp,6
54623,udp,5
795,udp,7
683,udp,6
51466,tcp,7
51792,udp,5
51858,udp,4
54189,tcp,9
56458,udp,4
55716,tcp,3
492,udp,9
55907,tcp,5
54164,tcp,7
58181,tcp,9
56049,udp,5
57713,udp,7
51924,tcp,6
2382,udp,5
60371,udp,7
58024,tcp,6
63779,udp,11
56112,udp,6
65216,udp,8
55740,udp,6
57430,tcp,7
51857,udp,3
104,tcp,4
51644,udp,1
4502,udp,4
64738,tcp,6
53420,udp,5
56814,tcp,10
51066,udp,5
52521,udp,2
59297,tcp,6
62375,udp,6
2040,tcp,5
202,tcp,4
63773,udp,10
4931,udp,4
4609,tcp,7
61253,udp,10
55804,udp,8
53904,tcp,1
51667,tcp,7
58872,tcp,4
60663,udp,4
65170,tcp,7
55135,udp,2
63417,tcp,8
57372,udp,7
54693,tcp,3
63811,tcp,5
56794,tcp,6
4804,udp,7
63335,tcp,4
58563,tcp,4
3616,tcp,2
62605,tcp,10
705,udp,2
56328,udp,2
57341,udp,6
60326,tcp,6
1266,tcp,6
58943,tcp,7
49478,tcp,5
4228,udp,6
50207,udp,7
57890,tcp,13
62391,udp,7
3490,udp,5
2985,udp,3
55508,udp,13
4482,tcp,8
2047,udp,5
49173,udp,6
65343,udp,8
63927,tcp,5
2769,udp,8
60976,tcp,4
56888,tcp,6
1316,tcp,8
55274,udp,4
53316,udp,11
54105,udp,4
59545,tcp,4
53363,udp,7
64122,tcp,4
60944,tcp,4
57772,tcp,7
62716,udp,5
64735,udp,4
58019,tcp,2
55374,udp,1
53967,tcp,6
52015,udp,4
59774,tcp,5
57100,udp,4
59502,udp,6
52807,udp,5
58457,udp,3
53569,tcp,8
55419,udp,4
62870,tcp,5
60602,tcp,7
62390,udp,6
56920,tcp,3
57017,udp,3
54,tcp,5
59977,tcp,5
55051,tcp,11
3575,udp,7
53391,udp,4
1048,udp,6
56238,tcp,8
60762,tcp,5
53950,tcp,8
61398,udp,4
56377,udp,6
63758,udp,7
54475,udp,4
52213,tcp,6
61587,udp,8
50736,udp,3
2836,udp,6
62097,udp,5
49340,udp,7
57488,tcp,3
57819,tcp,10
49940,udp,5
64827,udp,5
50660,udp,6
49337,tcp,4
58482,tcp,7
20,tcp,5
49180,tcp,5
62747,udp,8
55652,udp,5
56103,tcp,3
61487,tcp,3
2712,udp,5
65134,tcp,4
61403,udp,9
64301,udp,2
59865,tcp,2
3946,udp,11
53518,tcp,6
55079,udp,4
60333,udp,6
55560,udp,7
63254,udp,4
1579,tcp,8
62521,tcp,5
55833,udp,6
55745,tcp,5
4196,udp,7
58255,udp,4
2722,tcp,7
50148,udp,7
58554,tcp,5
1934,tcp,4
52629,tcp,6
61939,tcp,4
50197,tcp,5
4327,tcp,8
4601,udp,4
55027,udp,5
64717,udp,5
56919,udp,8
63611,tcp,6
50233,tcp,5
2045,udp,3
60299,udp,5
4949,tcp,3
53219,udp,7
55151,tcp,7
63805,tcp,2
4284,udp,9
54101,tcp,8
437,tcp,5
61918,tcp,6
2311,tcp,5
58440,udp,8
51007,tcp,6
65510,tcp,7
51755,udp,9
50798,udp,4
49728,udp,4
56643,tcp,8
56546,udp,4
994,tcp,6
55805,udp,5
57329,tcp,4
3597,tcp,6
57866,tcp,5
57042,udp,6
1980,udp,1
53917,tcp,7
50245,udp,3
64398,tcp,3
62474,udp,10
59907,udp,11
59016,udp,12
49732,udp,10
54374,udp,6
49819,tcp,5
55479,tcp,7
65423,tcp,5
49174,udp,2
58296,tcp,5
65363,tcp,5
53221,udp,3
697,udp,6
51475,tcp,6
59267,udp,7
61190,udp,7
686,udp,1
1286,tcp,2
64923,udp,2
64472,tcp,10
53640,tcp,5
62477,udp,6
61114,udp,5
2057,tcp,4
65192,tcp,4
59191,udp,9
53555,tcp,4
53565,tcp,9
58104,tcp,3
55516,udp,2
56493,tcp,7
1307,udp,4
57092,udp,3
4848,udp,11
59516,tcp,7
62890,udp,9
54426,udp,5
3278,tcp,4
54260,tcp,4
56408,tcp,2
58751,udp,3
54565,udp,5
52105,udp,3
64459,udp,9
49440,tcp,2
2650,udp,5
57160,tcp,5
63786,tcp,5
54585,udp,4
56889,udp,9
59524,tcp,5
3893,tcp,7
62634,tcp,6
49411,udp,9
4252,tcp,7
58292,tcp,9
58903,udp,5
3264,udp,4
3976,tcp,2
57936,udp,7
55919,tcp,5
1145,udp,3
64997,udp,9
63553,udp,4
701,tcp,4
65135,tcp,6
52734,udp,6
816,udp,3
53684,udp,5
63790,tcp,7
64514,udp,6
56688,tcp,3
53585,tcp,7
53755,udp,8
58483,tcp,2
52677,tcp,6
2251,udp,3
3004,udp,1
4771,udp,6
57264,tcp,3
57953,tcp,5
2043,udp,7
65272,tcp,7
52768,tcp,6
419,tcp,4
2907,tcp,4
1000,tcp,3
52467,udp,4
54799,tcp,10
58566,udp,11
64509,tcp,6
54742,tcp,3
129,udp,5
61006,tcp,3
65483,udp,9
54718,udp,10
59966,tcp,4
549,tcp,4
61280,tcp,6
64196,tcp,8
63784,udp,6
57340,tcp,6
56466,udp,4
